epoch,odor_id,odor_name,mouse_id,trial,R_global
2,0,"2,3 Pentanedione",1,7,0.1103247261305352
2,0,"2,3 Pentanedione",1,8,0.11887114393403808
2,0,"2,3 Pentanedione",1,9,0.14892912884100093
2,0,"2,3 Pentanedione",1,10,0.05694292987960218
2,0,"2,3 Pentanedione",1,11,0.09374630116994312
2,0,"2,3 Pentanedione",1,12,0.12329654486955462
2,0,"2,3 Pentanedione",1,13,0.06898402681337219
2,0,"2,3 Pentanedione",1,14,0.14542261300105846
2,1,3 Methylvaleric Acid,0,0,0.33260264606300527
2,1,3 Methylvaleric Acid,0,1,0.33733677092152203
2,1,3 Methylvaleric Acid,0,2,0.3233042139206008
2,1,3 Methylvaleric Acid,0,3,0.33701187237471775
2,1,3 Methylvaleric Acid,0,4,0.3395333065458197
2,1,3 Methylvaleric Acid,0,5,0.3312615003886437
2,1,3 Methylvaleric Acid,0,6,0.331276575788453
2,1,3 Methylvaleric Acid,0,7,0.33163238050810745
2,1,3 Methylvaleric Acid,0,8,0.32040963745718004
2,1,3 Methylvaleric Acid,0,9,0.3274957334799686
2,1,3 Methylvaleric Acid,0,10,0.32744629774871536
2,1,3 Methylvaleric Acid,0,11,0.3327515045994492
2,1,3 Methylvaleric Acid,0,12,0.338853745001184
2,1,3 Methylvaleric Acid,0,13,0.31847738148033605
2,1,3 Methylvaleric Acid,0,14,0.3277186626565116
2,1,3 Methylvaleric Acid,1,0,0.3441496887138783
2,1,3 Methylvaleric Acid,1,1,0.32212327273467883
2,1,3 Methylvaleric Acid,1,2,0.3213445746735439
2,1,3 Methylvaleric Acid,1,3,0.3314869824296597
2,1,3 Methylvaleric Acid,1,4,0.3378431266392316
2,1,3 Methylvaleric Acid,1,5,0.32959739925465875
2,1,3 Methylvaleric Acid,1,6,0.3426400926340078
2,1,3 Methylvaleric Acid,1,7,0.3379659652184408
2,1,3 Methylvaleric Acid,1,8,0.33781773366496987
2,1,3 Methylvaleric Acid,1,9,0.3349696645703904
2,1,3 Methylvaleric Acid,1,10,0.35252646740612675
2,1,3 Methylvaleric Acid,1,11,0.32745332829066887
2,1,3 Methylvaleric Acid,1,12,0.3096507847427333
2,1,3 Methylvaleric Acid,1,13,0.345365313226256
2,1,3 Methylvaleric Acid,1,14,0.32495337686653986
2,2,Acetic Acid,0,0,0.1763508641357121
2,2,Acetic Acid,0,1,0.19645281616928784
2,2,Acetic Acid,0,2,0.14774305577187538
2,2,Acetic Acid,0,3,0.15360821905972555
2,2,Acetic Acid,0,4,0.1477594763793382
2,2,Acetic Acid,0,5,0.1612616187534276
2,2,Acetic Acid,0,6,0.1819005950219003
2,2,Acetic Acid,0,7,0.1833149971175337
2,2,Acetic Acid,0,8,0.1791678123044342
2,2,Acetic Acid,0,9,0.1509129706774726
2,2,Acetic Acid,0,10,0.1359020002507246
2,2,Acetic Acid,0,11,0.17545544847599603
2,2,Acetic Acid,0,12,0.16665417171257702
2,2,Acetic Acid,0,13,0.18223096584095788
2,2,Acetic Acid,0,14,0.18628872412749092
2,2,Acetic Acid,1,0,0.18141088125163016
2,2,Acetic Acid,1,1,0.1918140981771648
2,2,Acetic Acid,1,2,0.18293265765089184
2,2,Acetic Acid,1,3,0.1879654353920437
2,2,Acetic Acid,1,4,0.16731031506089786
2,2,Acetic Acid,1,5,0.17609372980160543
2,2,Acetic Acid,1,6,0.18239006920218576
2,2,Acetic Acid,1,7,0.19282441298128428
2,2,Acetic Acid,1,8,0.17251169374292277
2,2,Acetic Acid,1,9,0.18781659579823143
2,2,Acetic Acid,1,10,0.1746512886394797
2,2,Acetic Acid,1,11,0.17713204545085773
2,2,Acetic Acid,1,12,0.19297481026382313
2,2,Acetic Acid,1,13,0.14575773351552793
2,2,Acetic Acid,1,14,0.15741049727299933
2,3,Gerinol,0,0,0.09060973643278346
2,3,Gerinol,0,1,0.07608383973880577
2,3,Gerinol,0,2,0.104325089271699
2,3,Gerinol,0,3,0.1286824421949192
2,3,Gerinol,0,4,0.11103638417860022
2,3,Gerinol,0,5,0.11927108211809417
2,3,Gerinol,0,6,0.13447934533477726
2,3,Gerinol,0,7,0.1385477570959442
2,3,Gerinol,0,8,0.114717136984551
2,3,Gerinol,0,9,0.13898962181736366
2,3,Gerinol,0,10,0.11746840348104762
2,3,Gerinol,0,11,0.10161017560777255
2,3,Gerinol,0,12,0.1057558587353005
2,3,Gerinol,0,13,0.09063786735496533
2,3,Gerinol,0,14,0.10074459664834874
2,3,Gerinol,1,0,0.10201156547329124
2,3,Gerinol,1,1,0.12182915715513697
2,3,Gerinol,1,2,0.13747685634511758
2,3,Gerinol,1,3,0.08453872583112682
2,3,Gerinol,1,4,0.11482139763130372
2,3,Gerinol,1,5,0.09036725892061298
2,3,Gerinol,1,6,0.11621814033056672
2,3,Gerinol,1,7,0.10588312212857233
2,3,Gerinol,1,8,0.07688323160658728
2,3,Gerinol,1,9,0.12395681496317848
2,3,Gerinol,1,10,0.09779787628643956
2,3,Gerinol,1,11,0.09901089117932513
2,3,Gerinol,1,12,0.08986894562557245
2,3,Gerinol,1,13,0.09695708746724396
2,3,Gerinol,1,14,0.11541959206095224
2,4,n Methyl Piperdine,0,0,0.21966396013150402
2,4,n Methyl Piperdine,0,1,0.2238072108772551
2,4,n Methyl Piperdine,0,2,0.224073289690426
2,4,n Methyl Piperdine,0,3,0.23174320810322058
2,4,n Methyl Piperdine,0,4,0.21843562565208022
2,4,n Methyl Piperdine,0,5,0.2093630523242294
2,4,n Methyl Piperdine,0,6,0.22971569419157112
2,4,n Methyl Piperdine,0,7,0.2185260094822172
2,4,n Methyl Piperdine,0,8,0.23009465441561427
2,4,n Methyl Piperdine,0,9,0.224244931764455
2,4,n Methyl Piperdine,0,10,0.2201288146173685
2,4,n Methyl Piperdine,0,11,0.22396812201136562
2,4,n Methyl Piperdine,0,12,0.23678601534000565
